SurveyID,SpeciesID,Sizeclass,Method,Abundance,Family,Class,CURRENT_TAXONOMIC_NAME,TempTrop_23cutoff
6001969,35,15,1,1,Pempherididae,Actinopterygii,Pempheris multiradiata,temperate
6001969,38,40,1,2,Kyphosidae,Actinopterygii,Kyphosus sydneyanus,temperate
6001969,43,20,1,2,Enoplosidae,Actinopterygii,Enoplosus armatus,temperate
6001969,57,20,1,1,Labridae,Actinopterygii,Pictilabrus laticlavius,temperate
6001969,64,7.5,1,20,Labridae,Actinopterygii,Siphonognathus beddomei,temperate
6001969,64,10,1,20,Labridae,Actinopterygii,Siphonognathus beddomei,temperate
6001969,916,12.5,1,2,Labridae,Actinopterygii,Austrolabrus maculatus,temperate
6001969,931,7.5,1,50,Plesiopidae,Actinopterygii,Trachinops noarlungae,temperate
6001969,932,5,1,20,Plesiopidae,Actinopterygii,Trachinops brauni,temperate
6001969,932,7.5,1,60,Plesiopidae,Actinopterygii,Trachinops brauni,temperate
6001969,932,10,1,3,Plesiopidae,Actinopterygii,Trachinops brauni,temperate
6001969,935,12.5,1,3,Pempherididae,Actinopterygii,Pempheris klunzingeri,temperate
6001969,936,7.5,1,3,Labridae,Actinopterygii,Dotalabrus alleni,temperate
6001969,939,7.5,1,1,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,939,15,1,1,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,939,20,1,1,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,939,25,1,2,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,940,5,1,4,Pomacentridae,Actinopterygii,Chromis klunzingeri,temperate
6001969,942,15,1,4,Labridae,Actinopterygii,Coris auricularis,temperate
6001969,942,30,1,3,Labridae,Actinopterygii,Coris auricularis,temperate
6001969,957,20,1,1,Chaetodontidae,Actinopterygii,Chelmonops curiosus,temperate
6001969,974,20,1,1,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001969,974,30,1,1,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001969,1012,15,1,4,Labridae,Actinopterygii,Anampses geographicus,tropical
6001969,1012,20,1,1,Labridae,Actinopterygii,Anampses geographicus,tropical
6001969,1613,7.5,1,10,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001969,1613,10,1,5,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001969,1613,12.5,1,2,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001969,2011,25,1,2,Labridae,Actinopterygii,Ophthalmolepis lineolatus,temperate
6001969,2011,30,1,1,Labridae,Actinopterygii,Ophthalmolepis lineolatus,temperate
6001969,2271,20,1,1,Labridae,Actinopterygii,Olisthops cyanomelas,temperate
6001969,2271,25,1,2,Labridae,Actinopterygii,Olisthops cyanomelas,temperate
6001969,39,20,1,1,Kyphosidae,Actinopterygii,Girella zebra,temperate
6001969,40,25,1,1,Scorpididae,Actinopterygii,Scorpis aequipinnis,temperate
6001969,57,20,1,1,Labridae,Actinopterygii,Pictilabrus laticlavius,temperate
6001969,64,7.5,1,5,Labridae,Actinopterygii,Siphonognathus beddomei,temperate
6001969,64,10,1,83,Labridae,Actinopterygii,Siphonognathus beddomei,temperate
6001969,916,15,1,2,Labridae,Actinopterygii,Austrolabrus maculatus,temperate
6001969,931,7.5,1,5,Plesiopidae,Actinopterygii,Trachinops noarlungae,temperate
6001969,931,10,1,20,Plesiopidae,Actinopterygii,Trachinops noarlungae,temperate
6001969,937,7.5,1,8,Kyphosidae,Actinopterygii,Neatypus obliquus,temperate
6001969,939,7.5,1,NA,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,939,10,1,4,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,939,20,1,1,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,939,25,1,3,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,940,7.5,1,2,Pomacentridae,Actinopterygii,Chromis klunzingeri,temperate
6001969,942,12.5,1,3,Labridae,Actinopterygii,Coris auricularis,temperate
6001969,942,15,1,3,Labridae,Actinopterygii,Coris auricularis,temperate
6001969,942,20,1,1,Labridae,Actinopterygii,Coris auricularis,temperate
6001969,954,15,1,1,Ostraciidae,Actinopterygii,Anoplocapros lenticularis,temperate
6001969,974,15,1,2,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001969,974,20,1,1,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001969,983,30,1,1,Kyphosidae,Actinopterygii,Kyphosus cornelii,temperate
6001969,983,35,1,1,Kyphosidae,Actinopterygii,Kyphosus cornelii,temperate
6001969,989,40,1,1,Platycephalidae,Actinopterygii,Leviprora inops,temperate
6001969,1012,15,1,4,Labridae,Actinopterygii,Anampses geographicus,tropical
6001969,1012,20,1,1,Labridae,Actinopterygii,Anampses geographicus,tropical
6001969,1613,5,1,1,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001969,1613,7.5,1,5,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001969,1613,10,1,4,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001969,2011,15,1,2,Labridae,Actinopterygii,Ophthalmolepis lineolatus,temperate
6001969,2011,20,1,1,Labridae,Actinopterygii,Ophthalmolepis lineolatus,temperate
6001969,2271,20,1,1,Labridae,Actinopterygii,Olisthops cyanomelas,temperate
6001970,34,10,1,1,Mullidae,Actinopterygii,Upeneichthys vlamingii,temperate
6001970,35,12.5,1,1,Pempherididae,Actinopterygii,Pempheris multiradiata,temperate
6001970,35,15,1,1,Pempherididae,Actinopterygii,Pempheris multiradiata,temperate
6001970,38,50,1,4,Kyphosidae,Actinopterygii,Kyphosus sydneyanus,temperate
6001970,38,62.5,1,2,Kyphosidae,Actinopterygii,Kyphosus sydneyanus,temperate
6001970,83,7.5,1,1,Callionymidae,Actinopterygii,Eocallionymus papilio,temperate
6001970,83,10,1,1,Callionymidae,Actinopterygii,Eocallionymus papilio,temperate
6001970,91,20,1,1,Monacanthidae,Actinopterygii,Meuschenia hippocrepis,temperate
6001970,91,35,1,1,Monacanthidae,Actinopterygii,Meuschenia hippocrepis,temperate
6001970,91,40,1,2,Monacanthidae,Actinopterygii,Meuschenia hippocrepis,temperate
6001970,916,10,1,1,Labridae,Actinopterygii,Austrolabrus maculatus,temperate
6001970,916,20,1,2,Labridae,Actinopterygii,Austrolabrus maculatus,temperate
6001970,931,7.5,1,2,Plesiopidae,Actinopterygii,Trachinops noarlungae,temperate
6001970,932,7.5,1,10,Plesiopidae,Actinopterygii,Trachinops brauni,temperate
6001970,935,10,1,17,Pempherididae,Actinopterygii,Pempheris klunzingeri,temperate
6001970,936,12.5,1,1,Labridae,Actinopterygii,Dotalabrus alleni,temperate
6001970,938,35,1,1,Scorpididae,Actinopterygii,Tilodon sexfasciatus,temperate
6001970,939,10,1,1,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001970,939,15,1,3,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001970,939,20,1,1,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001970,939,25,1,4,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001970,939,30,1,5,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001970,939,35,1,3,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001970,942,5,1,2,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,7.5,1,30,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,10,1,6,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,12.5,1,7,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,15,1,6,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,20,1,1,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,25,1,1,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,30,1,2,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,35,1,2,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,944,20,1,1,Labridae,Actinopterygii,Pseudolabrus biserialis,temperate
6001970,954,15,1,1,Ostraciidae,Actinopterygii,Anoplocapros lenticularis,temperate
6001970,974,15,1,1,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001970,974,25,1,2,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001970,974,30,1,2,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001970,974,35,1,1,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001970,976,40,1,1,Haemulidae,Actinopterygii,Plectorhinchus flavomaculatus,tropical
6001970,983,25,1,3,Kyphosidae,Actinopterygii,Kyphosus cornelii,temperate
6001970,983,30,1,4,Kyphosidae,Actinopterygii,Kyphosus cornelii,temperate
6001970,983,35,1,3,Kyphosidae,Actinopterygii,Kyphosus cornelii,temperate
6001970,983,40,1,2,Kyphosidae,Actinopterygii,Kyphosus cornelii,temperate
6001970,985,100,1,1,Orectolobidae,Chondrichthyes,Orectolobus spp.,temperate
6001970,1011,62.5,1,1,Glaucosomatidae,Actinopterygii,Glaucosoma hebraicum,tropical
6001970,1012,10,1,10,Labridae,Actinopterygii,Anampses geographicus,tropical
6001970,1012,12.5,1,5,Labridae,Actinopterygii,Anampses geographicus,tropical
6001970,1012,15,1,5,Labridae,Actinopterygii,Anampses geographicus,tropical
6001970,1613,7.5,1,2,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001970,1613,10,1,2,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001970,1613,12.5,1,1,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001970,1731,35,1,1,Mullidae,Actinopterygii,Parupeneus spilurus,temperate
6001970,1895,25,1,1,Carangidae,Actinopterygii,Pseudocaranx georgianus,temperate
6001970,1895,30,1,1,Carangidae,Actinopterygii,Pseudocaranx georgianus,temperate
6001970,2011,25,1,2,Labridae,Actinopterygii,Ophthalmolepis lineolatus,temperate
6001970,2011,30,1,4,Labridae,Actinopterygii,Ophthalmolepis lineolatus,temperate
6001970,2011,35,1,3,Labridae,Actinopterygii,Ophthalmolepis lineolatus,temperate
6001970,2011,40,1,2,Labridae,Actinopterygii,Ophthalmolepis lineolatus,temperate
6001970,2271,25,1,1,Labridae,Actinopterygii,Olisthops cyanomelas,temperate
6001970,2271,30,1,1,Labridae,Actinopterygii,Olisthops cyanomelas,temperate
6001970,2555,7.5,1,2,Labridae,Actinopterygii,Siphonognathus caninis,temperate
6001970,2555,10,1,31,Labridae,Actinopterygii,Siphonognathus caninis,temperate
6001970,35,12.5,1,6,Pempherididae,Actinopterygii,Pempheris multiradiata,temperate
6001970,38,35,1,50,Kyphosidae,Actinopterygii,Kyphosus sydneyanus,temperate
6001970,38,50,1,10,Kyphosidae,Actinopterygii,Kyphosus sydneyanus,temperate
6001970,57,12.5,1,1,Labridae,Actinopterygii,Pictilabrus laticlavius,temperate
6001970,91,35,1,1,Monacanthidae,Actinopterygii,Meuschenia hippocrepis,temperate
6001970,916,5,1,1,Labridae,Actinopterygii,Austrolabrus maculatus,temperate
6001970,916,7.5,1,1,Labridae,Actinopterygii,Austrolabrus maculatus,temperate
6001970,916,10,1,2,Labridae,Actinopterygii,Austrolabrus maculatus,temperate
6001970,931,5,1,150,Plesiopidae,Actinopterygii,Trachinops noarlungae,temperate
6001970,931,7.5,1,50,Plesiopidae,Actinopterygii,Trachinops noarlungae,temperate
6001970,932,2.5,1,15,Plesiopidae,Actinopterygii,Trachinops brauni,temperate
6001970,932,5,1,50,Plesiopidae,Actinopterygii,Trachinops brauni,temperate
