SiteCode,Site Name,Site Latitude,Site Longitude,Country/Region,State/Area,Loc.new,Ecoregion,Province,Realm
RI10,Kingston Reef,-31.98618,115.557,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI1,Green Island Reserve 1,-32.01725,115.50014,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI2,The Count,-32.01552,115.55708,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI3,Eagle Bay,-32.01805,115.4523,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI4,The Grottos Rottnest,-31.98926,115.51746,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI5,Crystal palace,-32.02498,115.54514,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI6,Pocillopora Reef,-32.02575,115.52968,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI7,Green Island Wall,-32.02472,115.50535,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI8,Fish Hook Bay,-32.02435,115.45157,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI9,Armstrong Bay,-31.9902,115.5047,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI11,Mini Swirl  Stragglers,-32.05237,115.62358,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI23,Roe Reef,-31.97427,115.53757,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI22,Parakete Bay North,-31.98754,115.51443,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI21,Duck Rock South,-31.9885,115.54114,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI17,Salmon Bay,-32.02329,115.51787,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI13,Collindar,-32.03047,115.52309,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI18,Dyer Island,-32.02078,115.5477,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI16,Jackson Rocks,-32.02567,115.58404,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI12,West End  Rottnest,-32.03073,115.4411,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI20,Swirl Reef  Rottnest,-31.99976,115.46846,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI19,Parakeet,-31.9891,115.5159,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI14,Parker Point,-32.02967,115.53069,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI15,Little Salmon Bay  Rottnest,-32.02603,115.52353,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
WA91,Lionfishcave - Rottnest,-31.97733,115.51566,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI24,Flat top,-32.00435,115.4518,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI25,The Basin,-31.98741,115.53397,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
RI26,Wadjemup Reef,-31.989747,115.576323,Australia,Western Australia,Rottnest Island,Leeuwin,Southwest Australian Shelf,Temperate Australasia
