SiteCode,SurveyID,Depth,SurveyDate
RI10,6001969,5,2010-05-15T00:00:00Z
RI10,6001970,6,2010-05-15T00:00:00Z
RI10,6001971,6.5,2010-05-15T00:00:00Z
RI1,6001978,4.8,2008-07-25T00:00:00Z
RI1,6001979,5,2008-07-25T00:00:00Z
RI1,6001980,5.8,2008-07-25T00:00:00Z
RI1,6001981,3.5,2009-07-24T00:00:00Z
RI1,6001982,4.5,2009-07-24T00:00:00Z
RI1,6001983,10,2009-07-24T00:00:00Z
RI1,6001984,2.5,2010-05-16T00:00:00Z
RI1,6001985,4,2010-05-16T00:00:00Z
RI1,6001986,6,2010-05-16T00:00:00Z
RI1,6001987,6.5,2010-05-16T00:00:00Z
RI1,6001988,12.6,2010-05-16T00:00:00Z
RI2,6001994,5,2008-07-25T00:00:00Z
RI2,6001995,8.5,2008-07-25T00:00:00Z
RI2,6001996,5,2008-07-28T00:00:00Z
RI2,6001997,5.5,2009-07-24T00:00:00Z
RI2,6001998,6,2009-07-24T00:00:00Z
RI2,6001999,7,2009-07-24T00:00:00Z
RI2,6002000,4.5,2010-05-16T00:00:00Z
RI2,6002001,5,2010-05-16T00:00:00Z
RI2,6002002,10,2010-05-16T00:00:00Z
RI3,6002010,4,2009-07-25T00:00:00Z
RI3,6002011,4.4,2009-07-25T00:00:00Z
RI3,6002012,4.6,2009-07-25T00:00:00Z
RI3,6002013,4,2010-05-14T00:00:00Z
RI3,6002014,4.8,2010-05-14T00:00:00Z
RI3,6002015,5.1,2010-05-14T00:00:00Z
RI3,6002016,5.9,2010-05-14T00:00:00Z
RI3,6002017,6,2010-05-14T00:00:00Z
RI4,6002022,4,2009-03-01T00:00:00Z
RI4,6002023,4.5,2009-07-25T00:00:00Z
RI4,6002024,5,2009-07-25T00:00:00Z
RI4,6002025,6,2009-07-25T00:00:00Z
RI5,6002029,8,2008-07-26T00:00:00Z
RI5,6002030,11,2008-07-26T00:00:00Z
RI5,6002031,16,2008-10-19T00:00:00Z
RI5,6002032,7,2009-07-26T00:00:00Z
RI5,6002033,11,2009-07-26T00:00:00Z
RI5,6002034,12,2009-07-26T00:00:00Z
RI5,6002035,11,2010-05-16T00:00:00Z
RI5,6002036,11.1,2010-05-16T00:00:00Z
RI6,6002041,2,2009-07-26T00:00:00Z
RI6,6002042,2.1,2009-07-26T00:00:00Z
RI6,6002043,3,2009-07-26T00:00:00Z
RI6,6002044,2,2010-05-17T00:00:00Z
