SurveyID,SpeciesID,Sizeclass,Method,Abundance,Biomass,Family,Class,CURRENT_TAXONOMIC_NAME,TempTrop_23cutoff
6001969,35,15,1,1,74.8172191126767,Pempherididae,Actinopterygii,Pempheris multiradiata,temperate
6001969,38,40,1,2,2292.92339827115,Kyphosidae,Actinopterygii,Kyphosus sydneyanus,temperate
6001969,43,20,1,2,335.324713735291,Enoplosidae,Actinopterygii,Enoplosus armatus,temperate
6001969,57,20,1,1,139.882649701947,Labridae,Actinopterygii,Pictilabrus laticlavius,temperate
6001969,64,7.5,1,20,170.865164594314,Labridae,Actinopterygii,Siphonognathus beddomei,temperate
6001969,64,10,1,20,397.968296571308,Labridae,Actinopterygii,Siphonognathus beddomei,temperate
6001969,916,12.5,1,2,76.6773339898403,Labridae,Actinopterygii,Austrolabrus maculatus,temperate
6001969,931,7.5,1,50,326.675479005436,Plesiopidae,Actinopterygii,Trachinops noarlungae,temperate
6001969,932,5,1,20,39.2863820802498,Plesiopidae,Actinopterygii,Trachinops brauni,temperate
6001969,932,7.5,1,60,392.010574806523,Plesiopidae,Actinopterygii,Trachinops brauni,temperate
6001969,932,10,1,3,45.98182479076,Plesiopidae,Actinopterygii,Trachinops brauni,temperate
6001969,935,12.5,1,3,129.276732303905,Pempherididae,Actinopterygii,Pempheris klunzingeri,temperate
6001969,936,7.5,1,3,25.6297746891471,Labridae,Actinopterygii,Dotalabrus alleni,temperate
6001969,939,7.5,1,1,17.211357103208,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,939,15,1,1,150.25705825459,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,939,20,1,1,336.672497058089,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,939,25,1,2,1042.87532702462,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,940,5,1,4,17.4990802463815,Pomacentridae,Actinopterygii,Chromis klunzingeri,temperate
6001969,942,15,1,4,247.465394866218,Labridae,Actinopterygii,Coris auricularis,temperate
6001969,942,30,1,3,869.137557434734,Labridae,Actinopterygii,Coris auricularis,temperate
6001969,957,20,1,1,322.993623872173,Chaetodontidae,Actinopterygii,Chelmonops curiosus,temperate
6001969,974,20,1,1,121.494163464627,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001969,974,30,1,1,286.636117224726,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001969,1012,15,1,4,262.066001340991,Labridae,Actinopterygii,Anampses geographicus,tropical
6001969,1012,20,1,1,139.882649701947,Labridae,Actinopterygii,Anampses geographicus,tropical
6001969,1613,7.5,1,10,92.3542535185001,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001969,1613,10,1,5,113.660638393154,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001969,1613,12.5,1,2,91.4313922754617,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001969,2011,25,1,2,422.107388147704,Labridae,Actinopterygii,Ophthalmolepis lineolatus,temperate
6001969,2011,30,1,1,305.682277617776,Labridae,Actinopterygii,Ophthalmolepis lineolatus,temperate
6001969,2271,20,1,1,139.882649701947,Labridae,Actinopterygii,Olisthops cyanomelas,temperate
6001969,2271,25,1,2,422.107388147704,Labridae,Actinopterygii,Olisthops cyanomelas,temperate
6001969,39,20,1,1,195.704626468041,Kyphosidae,Actinopterygii,Girella zebra,temperate
6001969,40,25,1,1,228.793828902717,Scorpididae,Actinopterygii,Scorpis aequipinnis,temperate
6001969,57,20,1,1,139.882649701947,Labridae,Actinopterygii,Pictilabrus laticlavius,temperate
6001969,64,7.5,1,5,42.7162911485785,Labridae,Actinopterygii,Siphonognathus beddomei,temperate
6001969,64,10,1,83,1651.56843077093,Labridae,Actinopterygii,Siphonognathus beddomei,temperate
6001969,916,15,1,2,131.033000670495,Labridae,Actinopterygii,Austrolabrus maculatus,temperate
6001969,931,7.5,1,5,32.6675479005436,Plesiopidae,Actinopterygii,Trachinops noarlungae,temperate
6001969,931,10,1,20,306.545498605067,Plesiopidae,Actinopterygii,Trachinops noarlungae,temperate
6001969,937,7.5,1,8,165.089147770211,Kyphosidae,Actinopterygii,Neatypus obliquus,temperate
6001969,939,7.5,1,1,17.211357103208,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,939,10,1,4,169.212950225964,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,939,20,1,1,336.672497058089,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,939,25,1,3,1564.31299053693,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001969,940,7.5,1,2,28.5408786126699,Pomacentridae,Actinopterygii,Chromis klunzingeri,temperate
6001969,942,12.5,1,3,108.469537668431,Labridae,Actinopterygii,Coris auricularis,temperate
6001969,942,15,1,3,185.599046149664,Labridae,Actinopterygii,Coris auricularis,temperate
6001969,942,20,1,1,132.328146213659,Labridae,Actinopterygii,Coris auricularis,temperate
6001969,954,15,1,1,179.046822042887,Ostraciidae,Actinopterygii,Anoplocapros lenticularis,temperate
6001969,974,15,1,2,105.655528699561,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001969,974,20,1,1,121.494163464627,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001969,983,30,1,1,644.886851229651,Kyphosidae,Actinopterygii,Kyphosus cornelii,temperate
6001969,983,35,1,1,899.631807830217,Kyphosidae,Actinopterygii,Kyphosus cornelii,temperate
6001969,989,40,1,1,424.168675075367,Platycephalidae,Actinopterygii,Leviprora inops,temperate
6001969,1012,15,1,4,262.066001340991,Labridae,Actinopterygii,Anampses geographicus,tropical
6001969,1012,20,1,1,139.882649701947,Labridae,Actinopterygii,Anampses geographicus,tropical
6001969,1613,5,1,1,2.59486740189686,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001969,1613,7.5,1,5,46.1771267592501,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001969,1613,10,1,4,90.9285107145233,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
6001969,2011,15,1,2,131.033000670495,Labridae,Actinopterygii,Ophthalmolepis lineolatus,temperate
6001969,2011,20,1,1,139.882649701947,Labridae,Actinopterygii,Ophthalmolepis lineolatus,temperate
6001969,2271,20,1,1,139.882649701947,Labridae,Actinopterygii,Olisthops cyanomelas,temperate
6001970,34,10,1,1,16.3244645530026,Mullidae,Actinopterygii,Upeneichthys vlamingii,temperate
6001970,35,12.5,1,1,43.0922441013017,Pempherididae,Actinopterygii,Pempheris multiradiata,temperate
6001970,35,15,1,1,74.8172191126767,Pempherididae,Actinopterygii,Pempheris multiradiata,temperate
6001970,38,50,1,4,9143.0246631606,Kyphosidae,Actinopterygii,Kyphosus sydneyanus,temperate
6001970,38,62.5,1,2,9038.99165301509,Kyphosidae,Actinopterygii,Kyphosus sydneyanus,temperate
6001970,83,7.5,1,1,5.3848175594445,Callionymidae,Actinopterygii,Eocallionymus papilio,temperate
6001970,83,10,1,1,11.7389710400686,Callionymidae,Actinopterygii,Eocallionymus papilio,temperate
6001970,91,20,1,1,302.44961626488,Monacanthidae,Actinopterygii,Meuschenia hippocrepis,temperate
6001970,91,35,1,1,889.517680514328,Monacanthidae,Actinopterygii,Meuschenia hippocrepis,temperate
6001970,91,40,1,2,2235.34373647127,Monacanthidae,Actinopterygii,Meuschenia hippocrepis,temperate
6001970,916,10,1,1,19.8984148285654,Labridae,Actinopterygii,Austrolabrus maculatus,temperate
6001970,916,20,1,2,279.765299403893,Labridae,Actinopterygii,Austrolabrus maculatus,temperate
6001970,931,7.5,1,2,13.0670191602174,Plesiopidae,Actinopterygii,Trachinops noarlungae,temperate
6001970,932,7.5,1,10,65.3350958010872,Plesiopidae,Actinopterygii,Trachinops brauni,temperate
6001970,935,10,1,17,372.905108863918,Pempherididae,Actinopterygii,Pempheris klunzingeri,temperate
6001970,936,12.5,1,1,38.338666994920104,Labridae,Actinopterygii,Dotalabrus alleni,temperate
6001970,938,35,1,1,584.573136713179,Scorpididae,Actinopterygii,Tilodon sexfasciatus,temperate
6001970,939,10,1,1,42.303237556491,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001970,939,15,1,3,450.771174763769,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001970,939,20,1,1,336.672497058089,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001970,939,25,1,4,2085.75065404923,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001970,939,30,1,5,3866.21372003745,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001970,939,35,1,3,3261.20832492748,Pomacentridae,Actinopterygii,Parma mccullochi,temperate
6001970,942,5,1,2,4.86278719546282,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,7.5,1,30,240.847072979124,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,10,1,6,112.419302498843,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,12.5,1,7,253.095587893006,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,15,1,6,371.198092299328,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,20,1,1,132.328146213659,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,25,1,1,199.851212912526,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,30,1,2,579.425038289823,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,942,35,1,2,798.766774628564,Labridae,Actinopterygii,Coris auricularis,temperate
6001970,944,20,1,1,139.882649701947,Labridae,Actinopterygii,Pseudolabrus biserialis,temperate
6001970,954,15,1,1,179.046822042887,Ostraciidae,Actinopterygii,Anoplocapros lenticularis,temperate
6001970,974,15,1,1,52.8277643497806,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001970,974,25,1,2,381.697076784411,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001970,974,30,1,2,573.272234449452,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001970,974,35,1,1,407.429324634291,Labridae,Actinopterygii,Notolabrus parilus,temperate
6001970,976,40,1,1,854.757743501332,Haemulidae,Actinopterygii,Plectorhinchus flavomaculatus,tropical
6001970,983,25,1,3,1316.36938908063,Kyphosidae,Actinopterygii,Kyphosus cornelii,temperate
6001970,983,30,1,4,2579.5474049186,Kyphosidae,Actinopterygii,Kyphosus cornelii,temperate
6001970,983,35,1,3,2698.89542349065,Kyphosidae,Actinopterygii,Kyphosus cornelii,temperate
6001970,983,40,1,2,2292.92339827115,Kyphosidae,Actinopterygii,Kyphosus cornelii,temperate
6001970,985,100,1,1,2567.60178001917,Orectolobidae,Chondrichthyes,Orectolobus spp.,temperate
6001970,1011,62.5,1,1,2766.5545290202,Glaucosomatidae,Actinopterygii,Glaucosoma hebraicum,tropical
6001970,1012,10,1,10,198.984148285654,Labridae,Actinopterygii,Anampses geographicus,tropical
6001970,1012,12.5,1,5,191.693334974601,Labridae,Actinopterygii,Anampses geographicus,tropical
6001970,1012,15,1,5,327.582501676238,Labridae,Actinopterygii,Anampses geographicus,tropical
6001970,1613,7.5,1,2,18.4708507037,Labridae,Actinopterygii,Halichoeres brownfieldi,temperate
